is,location,trial,set,batch,lat,conc,rep,measure,coldiam,coldiamplug,relgrowth
ILSO_5-42c,Illinois,1,1,2,39.066956,0.1,3,1,60.98,57.28,0.830987959
ILSO_5-42c,Illinois,1,1,2,39.066956,0.1,3,2,58.39,54.69,0.793413608
ILSO_5-42c,Illinois,1,1,2,39.066956,0.5,1,1,31.17,27.47,0.398520238
ILSO_5-42c,Illinois,1,1,2,39.066956,0.5,1,2,31.54,27.84,0.403888002
ILSO_5-42c,Illinois,1,1,2,39.066956,0.5,2,1,27.61,23.91,0.34687364
ILSO_5-42c,Illinois,1,1,2,39.066956,0.5,2,2,26.53,22.83,0.331205571
ILSO_5-42c,Illinois,1,1,2,39.066956,0.5,3,1,31.46,27.76,0.402727405
ILSO_5-42c,Illinois,1,1,2,39.066956,0.5,3,2,31.43,27.73,0.40229218
ILSO_5-42c,Illinois,1,1,2,39.066956,1,1,1,18.92,15.22,0.220803714
ILSO_5-42c,Illinois,1,1,2,39.066956,1,1,2,18.52,14.82,0.215000725
ILSO_5-42c,Illinois,1,1,2,39.066956,1,2,1,20.92,17.22,0.249818657
ILSO_5-42c,Illinois,1,1,2,39.066956,1,2,2,22.59,18.89,0.274046134
ILSO_5-42c,Illinois,1,1,2,39.066956,1,3,1,24.7,21,0.304656898
ILSO_5-42c,Illinois,1,1,2,39.066956,1,3,2,23.17,19.47,0.282460467
ILSO_5-49b,Illinois,1,1,2,39.066956,0,1,1,60.21,56.51,0.972856651
ILSO_5-49b,Illinois,1,1,2,39.066956,0,1,2,61.64,57.94,0.997475037
ILSO_5-49b,Illinois,1,1,2,39.066956,0,2,1,63.71,60.01,1.033111443
ILSO_5-49b,Illinois,1,1,2,39.066956,0,2,2,63.53,59.83,1.030012625
ILSO_5-49b,Illinois,1,1,2,39.066956,0,3,1,61.27,57.57,0.991105245
ILSO_5-49b,Illinois,1,1,2,39.066956,0,3,2,60.36,56.66,0.975438999
ILSO_5-49b,Illinois,1,1,2,39.066956,0.01,1,1,61.34,57.64,0.992310341
ILSO_5-49b,Illinois,1,1,2,39.066956,0.01,1,2,60.54,56.84,0.978537817
ILSO_5-49b,Illinois,1,1,2,39.066956,0.01,2,1,62.47,58.77,1.011764031
ILSO_5-49b,Illinois,1,1,2,39.066956,0.01,2,2,64.15,60.45,1.040686331
ILSO_5-49b,Illinois,1,1,2,39.066956,0.01,3,1,60.42,56.72,0.976471938
ILSO_5-49b,Illinois,1,1,2,39.066956,0.01,3,2,61.48,57.78,0.994720533
ILSO_5-49b,Illinois,1,1,2,39.066956,0.05,1,1,55.74,52.04,0.895902674
ILSO_5-49b,Illinois,1,1,2,39.066956,0.05,1,2,56.51,52.81,0.909158728
ILSO_5-49b,Illinois,1,1,2,39.066956,0.05,2,1,56.38,52.68,0.906920693
ILSO_5-49b,Illinois,1,1,2,39.066956,0.05,2,2,56.38,52.68,0.906920693
ILSO_5-49b,Illinois,1,1,2,39.066956,0.05,3,1,56.77,53.07,0.913634799
ILSO_5-49b,Illinois,1,1,2,39.066956,0.05,3,2,55.83,52.13,0.897452083
ILSO_5-49b,Illinois,1,1,2,39.066956,0.1,1,1,52.29,48.59,0.836508665
ILSO_5-49b,Illinois,1,1,2,39.066956,0.1,1,2,50.97,47.27,0.813784001
ILSO_5-49b,Illinois,1,1,2,39.066956,0.1,2,1,51.51,47.81,0.823080454
ILSO_5-49b,Illinois,1,1,2,39.066956,0.1,2,2,51.29,47.59,0.81929301
ILSO_5-49b,Illinois,1,1,2,39.066956,0.1,3,1,48.82,45.12,0.776770343
ILSO_5-49b,Illinois,1,1,2,39.066956,0.1,3,2,50.08,46.38,0.798462068
ILSO_5-49b,Illinois,1,1,2,39.066956,0.5,1,1,24.48,20.78,0.357741306
ILSO_5-49b,Illinois,1,1,2,39.066956,0.5,1,2,26.05,22.35,0.384769884
ILSO_5-49b,Illinois,1,1,2,39.066956,0.5,2,1,24.78,21.08,0.362906003
ILSO_5-49b,Illinois,1,1,2,39.066956,0.5,2,2,24.84,21.14,0.363938942
ILSO_5-49b,Illinois,1,1,2,39.066956,0.5,3,1,25.79,22.09,0.380293814
ILSO_5-49b,Illinois,1,1,2,39.066956,0.5,3,2,24.85,21.15,0.364111098
ILSO_5-49b,Illinois,1,1,2,39.066956,1,1,1,22.22,18.52,0.318833926
ILSO_5-49b,Illinois,1,1,2,39.066956,1,1,2,23.09,19.39,0.333811546
ILSO_5-49b,Illinois,1,1,2,39.066956,1,2,1,24.19,20.49,0.352748766
ILSO_5-49b,Illinois,1,1,2,39.066956,1,2,2,23.91,20.21,0.347928383
ILSO_5-49b,Illinois,1,1,2,39.066956,1,3,1,19.97,16.27,0.280098703
ILSO_5-49b,Illinois,1,1,2,39.066956,1,3,2,23.55,19.85,0.341730747
ILSO_6-1,Illinois,1,1,2,38.90414,0,1,1,68.08,64.38,1.008090193
ILSO_6-1,Illinois,1,1,2,38.90414,0,1,2,67.38,63.68,0.997129286
ILSO_6-1,Illinois,1,1,2,38.90414,0,2,1,68.89,65.19,1.020773527
ILSO_6-1,Illinois,1,1,2,38.90414,0,2,2,70.06,66.36,1.039093898
ILSO_6-1,Illinois,1,1,2,38.90414,0,3,1,65.35,61.65,0.965342659
ILSO_6-1,Illinois,1,1,2,38.90414,0,3,2,65.62,61.92,0.969570437
ILSO_6-1,Illinois,1,1,2,38.90414,0.01,1,1,63.14,59.44,0.930737512
ILSO_6-1,Illinois,1,1,2,38.90414,0.01,1,2,63.71,60.01,0.939662822
ILSO_6-1,Illinois,1,1,2,38.90414,0.01,2,1,64.19,60.49,0.947178872
ILSO_6-1,Illinois,1,1,2,38.90414,0.01,2,2,64.6,60.9,0.953598831
ILSO_6-1,Illinois,1,1,2,38.90414,0.01,3,1,65.39,61.69,0.965968996
ILSO_6-1,Illinois,1,1,2,38.90414,0.01,3,2,66.04,62.34,0.976146981
ILSO_6-1,Illinois,1,1,2,38.90414,0.05,1,1,50.71,47.01,0.736103137
ILSO_6-1,Illinois,1,1,2,38.90414,0.05,1,2,50.84,47.14,0.738138734
ILSO_6-1,Illinois,1,1,2,38.90414,0.05,2,1,51.94,48.24,0.755363015
ILSO_6-1,Illinois,1,1,2,38.90414,0.05,2,2,51.59,47.89,0.749882562
ILSO_6-1,Illinois,1,1,2,38.90414,0.05,3,1,51.49,47.79,0.748316718
ILSO_6-1,Illinois,1,1,2,38.90414,0.05,3,2,51.58,47.88,0.749725977
ILSO_6-1,Illinois,1,1,2,38.90414,0.1,1,1,42.41,38.71,0.606138107
ILSO_6-1,Illinois,1,1,2,38.90414,0.1,1,2,42.74,39.04,0.611305392
ILSO_6-1,Illinois,1,1,2,38.90414,0.1,2,1,42.79,39.09,0.612088314
ILSO_6-1,Illinois,1,1,2,38.90414,0.1,2,2,43.11,39.41,0.617099014
ILSO_6-1,Illinois,1,1,2,38.90414,0.1,3,1,42.31,38.61,0.604572264
ILSO_6-1,Illinois,1,1,2,38.90414,0.1,3,2,42.7,39,0.610679054
